FILIAL;CODTIPOCURSO;CODPROVA;PROVA;CODAREA;CODMATERIA;AVALIADOR;SEQOBJETOAVALIADO;CODQUESTAO;QUESTAO;CODOPCAO;OPCAO;STATUS;RESPOSTA
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91224493;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91249775;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91271824;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91272002;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91272192;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91278136;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91309767;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91360608;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91360779;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91375388;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91389606;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91405973;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91535798;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91535966;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91535970;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91557539;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91558558;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
