FILIAL;CODTIPOCURSO;MODALIDADE;CODPROVA;PROVA;CODAREA;CODMATERIA;SEMESTRE;AVALIADOR;CODCURSO;CURSO;SEQOBJETOAVALIADO;CODQUESTAO;QUESTAO;CODOPCAO;OPCAO;STATUS;RESPOSTA
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91861832;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91863356;224;Inteligência Artificial;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91863389;304;Ciências Contábeis;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91864767;224;Inteligência Artificial;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91864906;224;Inteligência Artificial;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91874009;223;Farmácia;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91874032;201;Agronomia;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91874706;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91874977;210;Medicina Veterinária;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91874992;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91875090;309;Arquitetura e Urbanismo;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91876617;213;Psicologia;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91876770;213;Psicologia;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91876793;204;Engenharia de Software;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91877071;204;Engenharia de Software;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91877683;211;Biomedicina;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91878111;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
